chem,equation,parital derivative w/ respect to chem,integrated_derivative,complexity,loss,score,sympy_format,lambda_format,Dataset,Directory
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
var13,myfunction(((((var6 + (var6 + var6)) + (var6 + var13)) - (-14.531545 - (var6 + var6))) + var6) + var6),1,8.668032227179301,20.0,16.240791,1.231467036452809e-07,var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 - (-(var6 + var6) - 14.531545)),No_noise_rel_var,low
var13,var13 + (var6 + ((((var6 + (var6 + var6)) + var6) + (var6 + var6)) - (-14.529317 - var6))),1,8.668032227179301,19.0,16.240793,0.0278964141593737,var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317),PySRFunction(X=>var13 + var6 + var6 + var6 + var6 + var6 + var6 + var6 - (-var6 - 14.529317)),No_noise_rel_var,low
